,AIRPORT_NAME,COUNTY,AIRPORT_ELEVATION,COUNTRY_REGION,MUNICIPALITY,AIRPORT_CODE,COORDINATES
52162,Moanamani Airport,ID,5204.0,ID-PA,Moanamani-Papua Island,ONI,"136.0832977294922, -3.9834020137786865"
52163,Wagethe Airport,ID,5627.0,ID-PA,Wagethe-Papua Island,WET,"136.2779998779297, -4.044229984283447"
52164,Nabire Airport,ID,20.0,ID-PA,Nabire-Papua Island,NBX,"135.496002, -3.36818"
52165,Illaga Airport,ID,7989.0,ID-PA,Illaga-Papua Island,ILA,"137.6225, -3.97648"
52166,Kokonau Airport,ID,59.0,ID-PA,Kokonau-Papua Island,KOX,"136.43515, -4.71075"
52167,Serui Airport,ID,50.0,ID-PA,Serui-Japen Island,ZRI,"136.24099731445312, -1.8755799531936646"
52168,Moses Kilangin Airport,ID,103.0,ID-PA,Timika-Papua Island,TIM,"136.886993, -4.52828"
52169,Enarotali Airport,ID,5807.0,ID-PA,Enarotali-Papua Island,EWI,"136.3769989013672, -3.9258999824523926"
52173,Andriamena Airport,MG,2475.0,MG-M,Andriamena,WAD,"47.7233, -17.631"
52174,Selaparang Airport,ID,52.0,ID-NB,Mataram-Lombok Island,AMI,"116.095001221, -8.560709953309999"
52175,Muhammad Salahuddin Airport,ID,3.0,ID-NB,Bima-Sumbawa Island,BMU,"118.68699645996, -8.5396499633789"
52176,Ngurah Rai (Bali) International Airport,ID,14.0,ID-BA,Denpasar-Bali Island,DPS,"115.16699981689, -8.7481698989868"
52177,Lombok International Airport,ID,319.0,ID-NB,Mataram,LOP,"116.276675, -8.757322"
52178,Sumbawa Besar Airport,ID,16.0,ID-NB,Sumbawa Island,SWQ,"117.41200256347656, -8.48904037475586"
52179,Tambolaka Airport,ID,161.0,ID-NT,Waikabubak-Sumba Island,TMC,"119.244003, -9.40972"
52180,Umbu Mehang Kunda Airport,ID,33.0,ID-NT,Waingapu-Sumba Island,WGP,"120.302002, -9.66922"
52181,Bua Airport,ID,13.0,ID-SN,Palopo,LLO,"120.245018, -3.082997"
52182,Yogyakarta International Airport,ID,24.0,ID-YO,Yogyakarta,YIA,"110.057264, -7.905338"
52183,Arso Airport,ID,208.0,ID-PA,Arso-Papua Island,ARJ,"140.78334045410156, -2.933332920074463"
52184,Bokondini Airport,ID,4550.0,ID-PA,Bokondini,BUI,"138.6755, -3.6822"
52186,Sarmi Airport,ID,10.0,ID-PA,Sarmi-Papua Island,ZRM,"138.75, -1.8695499897"
52187,Sentani International Airport,ID,289.0,ID-PA,Jayapura-Papua Island,DJJ,"140.5160064698, -2.5769500733"
52189,Lereh Airport,ID,820.0,ID-PA,Lereh-Papua Island,LHI,"139.952, -3.0795"
52190,Mulia Airport,ID,6527.0,ID-PA,Mulia-Papua Island,LII,"137.957, -3.7018"
52191,Oksibil Airport,ID,4315.0,ID-PA,Oksibil-Papua Island,OKL,"140.6277, -4.9071"
52192,Waris Airport,ID,1500.0,ID-PA,Swach,WAR,"140.994, -3.235"
52193,Senggeh Airport,ID,914.0,ID-PA,Senggeh,SEH,"140.779, -3.45"
52194,Ubrub Airport,ID,1370.0,ID-PA,Ubrub-Papua Island,UBR,"140.8838, -3.67565"
52195,Wamena Airport,ID,5085.0,ID-PA,Wamena-Papua Island,WMX,"138.957001, -4.10251"
52197,Mindiptana Airport,ID,157.0,ID-PA,Mindiptana-Papua Island,MDP,"140.36700439453125, -5.75"
52198,Bade Airport,ID,59.0,ID-PA,Bade,BXD,"139.58333, -7.175902"
52200,Mopah Airport,ID,10.0,ID-PA,Merauke-Papua Island,MKQ,"140.41799926757812, -8.52029037475586"
52201,Okaba Airport,ID,23.0,ID-PA,Okaba-Papua Island,OKQ,"139.7233, -8.0946"
52202,Kepi Airport,ID,67.0,ID-PA,Kepi-Papua Island,KEI,"139.3318, -6.5418"
52203,Tanah Merah Airport,ID,57.0,ID-PA,Tanah Merah-Papua Island,TMH,"140.29800415039062, -6.099219799041748"
52205,Tanjung Harapan Airport,ID,10.0,ID-KU,Tanjung Selor-Borneo Island,TJS,"117.373611111, 2.83583333333"
52206,Datadawai Airport,ID,508.0,ID-KI,Datadawai-Borneo Island,DTD,"114.5306, 0.8106"
52207,Kalimarau Airport,ID,59.0,ID-KI,Tanjung Redeb - Borneo Island,BEJ,"117.431999, 2.1555"
52208,Sultan Aji Muhamad Sulaiman Airport,ID,12.0,ID-KI,Kotamadya Balikpapan,BPN,"116.893997192, -1.26827001572"
52210,Juwata Airport,ID,23.0,ID-KU,Tarakan Island,TRK,"117.569444, 3.326667"
52212,Tanjung Santan Airport,ID,121.0,ID-KI,Santan-Borneo Island,TSX,"117.45300293, -0.0929730013013"
52213,Bunyu Airport,ID,118.0,ID-KU,Bunju Island,BYQ,"117.866996765, 3.45571994781"
52215,Gamarmalamo Airport,ID,180.0,ID-MU,Galela-Celebes Island,GLX,"127.78600311279297, 1.8383300304412842"
52219,Buli Airport,ID,7.0,ID-MA,Pekaulang,PGQ,"128.3825, 0.9194"
52220,Jalaluddin Airport,ID,105.0,ID-GO,Gorontalo-Celebes Island,GTO,"122.849998474, 0.63711899519"
52221,Naha Airport,ID,16.0,ID-SA,Tahuna-Sangihe Island,NAH,"125.52799987792969, 3.6832098960876465"
52222,Sultan Bantilan Airport,ID,40.0,ID-ST,Toli Toli-Celebes Island,TLI,"120.793658, 1.123428"
52223,Gebe Airport,ID,125.0,ID-MU,Gebe Island,GEB,"129.45799255371094, -0.07888899743556976"
52224,Kao Airport,ID,27.0,ID-MU,Kao-Celebes Island,KAZ,"127.89600372314453, 1.1852799654006958"
52225,Mutiara Airport,ID,284.0,ID-ST,Palu-Celebes Island,PLW,"119.91000366210938, -0.9185420274734497"
52226,Sam Ratulangi Airport,ID,264.0,ID-SA,Manado-Celebes Island,MDC,"124.9260025024414, 1.5492600202560425"
52227,Melangguane Airport,ID,3.0,ID-SA,Karakelong Island,MNA,"126.672997, 4.00694"
52228,Kasiguncu Airport,ID,174.0,ID-ST,Poso-Celebes Island,PSJ,"120.657997131, -1.41674995422"
52229,Pitu Airport,ID,49.0,ID-MU,Gotalalamo-Morotai Island,OTI,"128.324996948, 2.0459899902300003"
52230,Sultan Babullah Airport,ID,49.0,ID-MU,Sango-Ternate Island,TTE,"127.380997, 0.831414"
52232,Syukuran Aminuddin Amir Airport,ID,56.0,ID-ST,Luwok - Celebes Island,LUW,"122.772003, -1.03892"
52233,Buol Airport,ID,27.0,ID-ST,Buol-Celebes Island,UOL,"121.4141, 1.1027"
52234,Waverney Airport,AU,570.0,AU-QLD,Waverney,WAN,"141.9254, -25.3563"
52235,Batu Licin Airport,ID,3.0,ID-KS,Batu Licin-Borneo Island,BTW,"115.995002747, -3.4124100208300003"
52237,Iskandar Airport,ID,75.0,ID-KT,Pangkalanbun-Borneo Island,PKN,"111.672997, -2.7052"
52238,Gusti Syamsir Alam Airport,ID,4.0,ID-KS,Stagen - Laut Island,KBU,"116.165001, -3.29472"
52241,Warukin Airport,ID,197.0,ID-KS,Tanta-Tabalong-Borneo Island,TJG,"115.435997009, -2.21655988693"
52242,Syamsudin Noor Airport,ID,66.0,ID-KS,Banjarmasin-Borneo Island,BDJ,"114.76300048828125, -3.4423599243164062"
52243,Tjilik Riwut Airport,ID,82.0,ID-KT,Palangkaraya-Kalimantan Tengah,PKY,"113.943000793, -2.22513008118"
52244,Sampit(Hasan) Airport,ID,50.0,ID-KT,Sampit-Borneo Island,SMQ,"112.974998474, -2.49919009209"
52247,Amahai Airport,ID,29.0,ID-MA,Amahai-Seram Island,AHI,"128.925994873, -3.34800004959"
52249,Bandanaira Airport,ID,100.0,ID-MA,Banda-Naira Island,NDA,"129.9054, -4.5214"
52250,Rar Gwamar Airport,ID,61.0,ID-MA,Dobo-Warmar Island,DOB,"134.212005615, -5.7722201347399995"
52251,"Mangole Airport, Falabisahaya",ID,889.0,ID-MU,Mangole Island,MAL,"125.83000183105469, -1.875789999961853"
52252,Namrole Airport,ID,31.0,ID-MA,Namrole-Buru Island,NRE,"126.7012, -3.8548"
52253,Oesman Sadik Airport,ID,49.0,ID-MU,Labuha-Halmahera Island,LAH,"127.501999, -0.635259"
52254,Saumlaki/Olilit Airport,ID,218.0,ID-MA,Saumlaki-Yamdena Island,SXK,"131.305999756, -7.9886097908"
52255,Nangasuri Airport,ID,82.0,ID-MA,Maikoor Island,BJK,"134.2740020751953, -6.066199779510498"
52256,Dumatumbun Airport,ID,10.0,ID-MA,Langgur-Seram Island,LUV,"132.7310028076172, -5.661620140075684"
52257,Emalamo Sanana Airport,ID,39.0,ID-MU,Sanana-Seram Island,SQN,"125.96700286865234, -2.080509901046753"
52259,"Pattimura Airport, Ambon",ID,33.0,ID-MA,Ambon,AMQ,"128.089004517, -3.7102599144"
52261,Namlea Airport,ID,41.0,ID-MA,Namlea-Buru Island,NAM,"127.0999984741211, -3.235569953918457"
52262,Taliabu Island Airport,ID,9.0,ID-MU,Tikong-Taliabu Island,TAX,"124.55899810791016, -1.6426299810409546"
52263,"Wahai,Seram Island",ID,558.0,ID-MA,Seram Island,WBA,"129.484, -2.8114"
52264,Abdul Rachman Saleh Airport,ID,1726.0,ID-JI,Malang-Java Island,MLG,"112.714996338, -7.926559925079999"
52265,Ngloram Airport,ID,131.0,ID-JT,Tjepu-Java Island,CPF,"111.548166667, -7.19484166667"
52267,Adi Sutjipto International Airport,ID,350.0,ID-YO,Yogyakarta-Java Island,JOG,"110.43199920654297, -7.788179874420166"
52268,Adi Sumarmo Wiryokusumo Airport,ID,421.0,ID-JT,Sukarata(Solo)-Java Island,SOC,"110.75700378417969, -7.516089916229248"
52269,Juanda International Airport,ID,9.0,ID-JI,Surabaya,SUB,"112.78700256347656, -7.3798298835754395"
52270,Achmad Yani Airport,ID,10.0,ID-JT,Semarang-Java Island,SRG,"110.375, -6.97273"
52271,Trunojoyo Airport,ID,10.0,ID-JI,Sumenep-Madura Island,SUP,"113.89023, -7.0242"
52273,Stenkol Airport,ID,57.0,ID-PB,Bintuni,NTI,"133.5164, -2.1033"
52274,Abresso Airport,ID,52.0,ID-PB,Ransiki-Papua Island,RSK,"134.175, -1.496771"
52275,Kebar Airport,ID,2050.0,ID-PB,Kebar-Papua Island,KEQ,"133.1280059814453, -0.6371009945869446"
52276,Fakfak Airport,ID,462.0,ID-PB,Fakfak-Papua Island,FKQ,"132.26699829101562, -2.9201900959014893"
52277,Inanwatan Airport,ID,9.0,ID-PB,Inanwatan Airport-Papua Island,INX,"132.16099548339844, -2.1280999183654785"
52278,Kaimana Airport,ID,19.0,ID-PB,Kaimana-Papua Island,KNG,"133.6959991455078, -3.6445200443267822"
52279,Merdei Airport,ID,425.0,ID-PB,Merdei-Papua Island,RDE,"133.33299255371094, -1.5833300352096558"
52280,Babo Airport,ID,10.0,ID-PB,Babo-Papua Island,BXB,"133.43899536132812, -2.5322399139404297"
52281,Rendani Airport,ID,23.0,ID-PB,Manokwari-Papua Island,MKW,"134.0489959716797, -0.8918330073356628"
52283,Teminabuan Airport,ID,141.0,ID-PB,Atinjoe-Papua Island,TXM,"132.02099609375, -1.4447200298309326"
52284,Wasior Airport,ID,49.0,ID-PB,Wasior-Papua Island,WSR,"134.5061, -2.721"
52285,Bajawa Soa Airport,ID,4326.0,ID-NT,Bajawa,BJW,"121.057426929, -8.70743498008"
52286,Maumere(Wai Oti) Airport,ID,115.0,ID-NT,Maumere-Flores Island,MOF,"122.236999512, -8.64064979553"
52287,Ende (H Hasan Aroeboesman) Airport,ID,49.0,ID-NT,Ende-Flores Island,ENE,"121.661003113, -8.8492898941"
52288,Frans Sales Lega Airport,ID,3510.0,ID-NT,Satar Tacik-Flores Island,RTG,"120.47699737549, -8.5970096588135"
52289,Mali Airport,ID,10.0,ID-NT,Alor Island,ARD,"124.59700012207031, -8.132340431213379"
52290,Komodo Airport,ID,66.0,ID-NT,Labuan Bajo - Flores Island,LBJ,"119.889, -8.48666"
52291,El Tari Airport,ID,335.0,ID-NT,Kupang-Timor Island,KOE,"123.6709976196289, -10.171600341796875"
52292,Betoambari Airport,ID,164.0,ID-SG,Bau Bau-Butung Island,BUW,"122.56900024414062, -5.486879825592041"
52293,Selayar/Aroepala Airport,ID,13.0,ID-SN,Benteng,KSR,"120.4362, -6.1751"
52294,Andi Jemma Airport,ID,164.0,ID-SN,Masamba-Celebes Island,MXB,"120.323997, -2.55803"
52295,Soroako Airport,ID,1388.0,ID-SN,Soroako-Celebes Island,SQR,"121.35800170898438, -2.5311999320983887"
52296,Pongtiku Airport,ID,2884.0,ID-SN,Makale,TTR,"119.82199859619, -3.0447399616241"
52297,Wolter Monginsidi Airport,ID,538.0,ID-SG,Kendari-Celebes Island,KDI,"122.41799926757812, -4.081610202789307"
52298,Dominique Edward Osok Airport,ID,10.0,ID-PB,Sorong-Papua Island,SOQ,"131.287, -0.894"
52300,Stebbins Airport,US,14.0,US-AK,Stebbins,WBB,"-162.277999878, 63.5159988403"
52301,Wapolu Airport,PG,45.0,PG-MBA,Wapolu,WBC,"150.5093, -9.3376"
52303,Bintulu Airport,MY,74.0,MY-13,Bintulu,BTU,"113.019996643, 3.12385010719"
52304,Belaga Airport,MY,200.0,MY-13,Belaga,BLG,"113.766998291, 2.65000009537"
52305,Long Semado Airport,MY,2150.0,MY-13,Long Semado,LSM,"115.599998474, 4.21700000763"
52307,Long Lellang Airport,MY,1400.0,MY-13,Long Datih,LGL,"115.153999329, 3.4210000038099997"
52308,Kuching International Airport,MY,89.0,MY-13,Kuching,KCH,"110.34700012207031, 1.4846999645233154"
52309,Long Seridan Airport,MY,607.0,MY-13,Long Seridan,ODN,"115.05000305175781, 3.9670000076293945"
52310,Limbang Airport,MY,14.0,MY-13,Limbang,LMN,"115.01000213623047, 4.808300018310547"
52311,Mukah Airport,MY,13.0,MY-13,Mukah,MKM,"112.080002, 2.90639"
52312,Long Akah Airport,MY,289.0,MY-13,Long Akah,LKH,"114.78299713134766, 3.299999952316284"
52313,Marudi Airport,MY,103.0,MY-13,Marudi,MUR,"114.3290023803711, 4.178979873657227"
52314,Sematan Airport,MY,22.0,MY-13,Sematan,BSE,"109.76300048828125, 1.8136099576950073"
52316,Kapit Airport,MY,65.0,MY-13,Kapit,KPI,"112.931468248, 2.01052374505"
52317,Bakalalan Airport,MY,2900.0,MY-13,Bakalalan,BKM,"115.61799621582031, 3.9739999771118164"
52318,Miri Airport,MY,59.0,MY-13,Miri,MYY,"113.98699951171875, 4.322010040283203"
52319,Sibu Airport,MY,122.0,MY-13,Sibu,SBW,"111.98500061035156, 2.2616000175476074"
52320,Tanjung Manis Airport,MY,15.0,MY-13,Tanjung Manis,TGC,"111.2020034790039, 2.177839994430542"
